schnitzel,<:schnitzel:943559144135336047>
gyros,<:kebab:1045270415762784297>
beeren,🐻
burger,🍔
pizza,🍕
pfannkuchen,🥞
kuchen,🍰
küchlein,🍰
spaghetti,🍝
suppe,🍲
chili,🌶
scharf,🌶
keule,🍗
steak,🥩
hähnchen,🐔
huhn,🐔
chicken,🐔
schwein,🐷
pork,🐷
kuh,🐮
rind,🐮
ente,🦆
gans,🦆
fisch,🐟
hering,🐟
lachs,🐟
krebs,🦀
reis,🍚
pommes,🍟
apfel,🍎
zitrone,🍋
lemon,🍋
limette,🍋
brokkoli,🥦
paprika,🫑
mais,🌽
karotte,🥕
kartoffel,🥔
salat,🥗
eintopf,🍲
käse,🧀
zwiebel,🧅
vegan,<:vegan:1003629202739822702>
weizen,🌾
milch,🥛
farbstoff,🖌
soja,🌱
samen,🌱
eier,🥚
schalenfrüchte,🌰
mandeln,🌰
